Brand,Product Title,Price,Rating,Seller Rating,Ship on Time Score,URL Link,No.of Questions,Specifications
OPPO,OPPO A17 4GB + 64GB 5000mAh Battery,36999,0.0,90.0,71.0,https://www.daraz.pk/products/12gb-v29-256gb-678-4600-mah-80-i435993109-s2094160423.html?search=1,111,Stylish Design Luxury and premium look
VGOTEL,VGOTEL NOTE 23 8+8=16GB RAM 256GB ROM =,30999,4.6,92.0,85.0,https://www.daraz.pk/products/sparx-neo-x-4gb-ram-64gb-rom-50mp-2mp-camera-5000mah-battery-pta-approved-1-year-brand-warranty-i429329343-s2045915202.html?search=1,51,"6.78""Inches"
Samsung,Samsung Galaxy A04s 4GB - 128GB OFFICIAL PTA,39999,4.9,92.0,100.0,https://www.daraz.pk/products/samsung-a34-8gb256gb-66-inches-display-android-13-5000mah-battery-i433327714-s2125087779.html?search=1,80,Official PTA Approved
Redmi,Redmi 12C 4GB RAM + 64GB ROM PTA,26480,5.0,91.0,75.0,https://www.daraz.pk/products/y27s-wair-6-6gb-64gb-5000mah-i434207118-s2082927409.html?search=1,132,Redmi 12C
Infinix,Infinix Zero 30 4G RAM 8 GB ROM,75000,5.0,87.0,18.0,https://www.daraz.pk/products/12-8gb-128gb-50mp-5000mah-i429660348-s2045859828.html?search=1,129,"BuildOSAndroid 13 OS UIXOS 13 Dimensions164.5 x 75 x 7.9 mm Weight182 g SIMDual Sim, Dual Standby (Nano-SIM) ColorsSunset Gold, Misty Green, Pearly White Frequency2G BandSIM1: GSM 850 / 900 / 1800 / 1900"
Redmi,"Redmi A2 Plus , 3GB RAM 64GB ROM",20999,4.7,92.0,100.0,https://www.daraz.pk/products/samsung-a14-4128-i422211748-s1998041160.html?search=1,69,"BuildOSAndroid 12 Go edition UIMIUI Dimensions164.9 x 76.8 x 9.1 mm Weight192 g SIMDual Sim, Dual Standby (Nano-SIM) ColorsLight Green, Light Blue, Black Frequency2G BandSIM1: GSM 850 / 900 / 1800 / 1900"
Tecno,Tecno Camon 20 || 8GB ROM 256GB ROM,46500,0.0,95.0,70.0,https://www.daraz.pk/products/c51-4gb-64gb-5-mp-50-mp-008-mp-5000-mah-i438776261-s2124156020.html?search=1,100,"Tecno Camon 20 detailed specifications Build OS Android 13 OS UI HIOS 13 Dimensions 162.7 x 75.9 x 7.8 mm Weight N/A SIM Dual Sim, Dual Standby (Nano-SIM) Colors Predawn Black, Glacier Glow, Serenity Blue Frequency 2G Band SIM1: GSM 850 / 900 / 1800 / 1900"
TECNO,TECNO CAMON 20 - 8GB+8GB RAM 256GB ROM,47000,0.0,89.0,47.0,https://www.daraz.pk/products/13t-12gb-256gb-50mp-5000mah-i436690801-s2098339587.html?search=1,30,"Tecno Camon 20 detailed specificationsBuildOSAndroid 13 OS UIHIOS 13 Dimensions162.7 x 75.9 x 7.8 mm WeightN/A SIMDual Sim, Dual Standby (Nano-SIM) ColorsPredawn Black, Glacier Glow, Serenity Blue Frequency2G BandSIM1: GSM 850 / 900 / 1800 / 1900"
Sparx,Sparx Neo X || 4GB RAM 64GB ROM,24999,5.0,88.0,84.0,https://www.daraz.pk/products/12-2gb-64gb-652-5000mah-i425521808-s2015916870.html?search=1,148,"Sparx Neo X SIM Support Dual Sim, Dual Standby (Nano-SIM) Phone Dimensions N/A Phone Weight N/A Operating System Android 12 OS Display Screen Size 6.5 Inches Screen Resolution 720 x 1600 Pixels Screen Type IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch Screen Protection N/A Memory Internal Memory 64 GB RAM 4 GB Card Slot Yes Performance Processor Mediatek Helio G37 Octa core Processor GPU PowerVR Battery Type 5000 mAh Camera Front Camera 8 MP Front Flash Light N/A Front Video Recording Yes Back Flash Light Yes Back Camera 50 MP + 2 MP + AI Back Video Recording Yes Connectivity Bluetooth Yes 3G Yes 4G/LTE Yes 5G No Radio Yes WiFi Yes NFC No"
Redmi,Redmi 12 || 8GB Ram 128GB Rom ||,42999,0.0,89.0,90.0,https://www.daraz.pk/products/tecno-pova-5-pro-5g-256gb-rom-8gb-ram-5000mah-mega-battery-pta-approevd-official-brand-warranty-i436995460-s2101833767.html?search=1,0,"6.79"" FHD+ DotDisplay2460x1080, 396 ppiContrast ratio: 1500:1Color gamut: 70% NTSCBrightness: up to 550 nits (HBM)AdaptiveSync display: 36Hz/48Hz/60Hz/90HzSupports readming mode 3.0SGS Low Blue Light Certification"
